comment,label
This is just aesthetic nonsense.,hate
And this helps the planet how?,hate
Congrats on discovering nature.,hate
Keep pretending your kale is saving the world.,hate
Virtue signaling at its finest.,hate
You’re not better than anyone for planting flowers.,hate
This is just a distraction from real issues.,hate
Gardening doesn’t make you a saint.,hate
"Beekeeping isn’t activism, it’s Instagram bait.",hate
"Oh look, another recycled post.",hate
This reads like AI wrote it.,hate
Boring.,hate
Just say you’re bored and move on.,hate
Someone really thought this was profound?,hate
"This isn’t deep, it’s dirt.",hate
Literally no one cares.,hate
Can we stop pretending composting is revolutionary?,hate
"Wow, changing the world one tomato at a time.",hate
Cringe.,hate
Nothing new here.,hate
Another nature-worshipping thread 🙄,hate
So out of touch.,hate
Sounds like something your yoga teacher told you.,hate
This is why no one takes environmentalists seriously.,hate
Touching leaves won’t fix late-stage capitalism.,hate
Imagine thinking bees will save us.,hate
Your hobby isn’t activism.,hate
"We get it, you like plants.",hate
Try saying something original.,hate
I miss the internet before this trend.,hate
Keep pretending this matters.,hate
Who has time for this nonsense?,hate
You’re not relatable.,hate
Cute way to avoid real problems.,hate
This is such a nothing-burger.,hate
Doing the absolute least and bragging.,hate
Nature doesn’t need your hobby.,hate
Congrats on discovering common sense.,hate
Your “meaningful experience” sounds like a waste of time.,hate
You think you’re better than others for gardening?,hate
Real activism isn’t aesthetic.,hate
There are actual crises and you're talking about bees.,hate
Just say you wanted to post a pretty pic.,hate
"Oh cool, another backyard savior.",hate
This does absolutely nothing.,hate
Pretending to care for likes.,hate
Do less.,hate
Can’t wait for this trend to die.,hate
"Another day, another pointless post.",hate
Why is this always on my feed?,hate
Keep posting like this changes anything.,hate
Nobody asked for your earth advice.,hate
Plants can’t read your captions.,hate
Trying way too hard.,hate
Let me guess — you live off-grid now too?,hate
"Wow, you touched a leaf, congrats.",hate
This isn’t the flex you think it is.,hate
Just admit it’s for the aesthetic.,hate
Laughing at how serious you sound.,hate
This is peak Instagram nonsense.,hate
Another fake “eco” moment.,hate
Please stop.,hate
Tired of this preachy vibe.,hate
The Earth isn’t impressed.,hate
Acting like planting a flower is activism.,hate
It’s giving fake woke.,hate
This is just greenwashed self-care.,hate
How does this help anyone?,hate
Save it for your eco-retreat.,hate
This won’t age well.,hate
This is why the movement is mocked.,hate
Trying too hard to sound wise.,hate
It's not that deep.,hate
Another guilt post disguised as a hobby.,hate
Get over yourself.,hate
What a waste of a platform.,hate
Your garden won’t save the planet.,hate
We’ve heard this 100 times already.,hate
Are you even doing anything that matters?,hate
This helps your ego more than the Earth.,hate
Plants won’t solve policy.,hate
Nobody is inspired by this.,hate
Another surface-level take.,hate
Feels like filler content.,hate
You’re not the first to plant a seed.,hate
Just say you wanted engagement.,hate
This feels more like branding than caring.,hate
This is basically green aesthetics cosplay.,hate
Congrats on saying a lot and meaning very little.,hate
